src,dst,amount,timestamp,is_fraud
vpa_4598,vpa_18682,1103.31,1767208213.0,0
vpa_27682,vpa_1868,2450.66,1767208219.0,0
vpa_26955,vpa_24059,4330.45,1767208221.0,0
vpa_14009,vpa_313,2554.95,1767208245.0,0
vpa_11399,vpa_27275,2674.63,1767208284.0,0
vpa_19326,vpa_1611,469.32,1767208344.0,0
vpa_25047,vpa_4744,740.22,1767208350.0,0
vpa_4190,vpa_19483,775.31,1767208366.0,0
vpa_22227,vpa_10348,3986.21,1767208368.0,0
vpa_9018,vpa_23517,1856.57,1767208470.0,0
vpa_900,vpa_23297,4285.6,1767208487.0,0
vpa_29022,vpa_25799,9608.39,1767208638.0,0
vpa_923,vpa_4508,926.78,1767208641.0,0
vpa_13396,vpa_24491,3837.13,1767208650.0,0
vpa_25490,vpa_13881,1560.39,1767208658.0,0
vpa_15154,vpa_25237,1700.12,1767208730.0,0
vpa_1897,vpa_16705,700.75,1767208832.0,0
vpa_14325,vpa_3617,539.86,1767208922.0,0
vpa_17051,vpa_10199,573.23,1767208972.0,0
vpa_9315,vpa_14500,1891.21,1767209010.0,0
vpa_27546,vpa_9160,537.61,1767209024.0,0
vpa_8114,vpa_21099,20939.29,1767209068.0,1
vpa_20697,vpa_29893,1894.96,1767209107.0,0
vpa_15637,vpa_28489,1101.99,1767209141.0,0
vpa_21067,vpa_13457,818.03,1767209147.0,0
vpa_16213,vpa_20382,659.56,1767209148.0,0
vpa_2264,vpa_22233,441.25,1767209156.0,0
vpa_25067,vpa_2790,2900.39,1767209389.0,0
vpa_15983,vpa_10382,698.13,1767209389.0,0
vpa_5451,vpa_26023,1561.64,1767209426.0,0
vpa_6727,vpa_24424,978.13,1767209466.0,0
vpa_13935,vpa_13437,2362.98,1767209481.0,0
vpa_5638,vpa_10815,2039.18,1767209485.0,0
vpa_28081,vpa_6932,1978.84,1767209567.0,0
vpa_438,vpa_5532,1222.18,1767209569.0,0
vpa_10030,vpa_7724,623.66,1767209589.0,0
vpa_9223,vpa_1256,460.77,1767209605.0,0
vpa_29558,vpa_11465,1626.85,1767209616.0,0
vpa_23533,vpa_13449,7733.14,1767209652.0,0
vpa_9404,vpa_5825,1530.47,1767209703.0,0
vpa_6195,vpa_11483,1699.09,1767209720.0,0
vpa_4787,vpa_5551,468.33,1767209751.0,0
vpa_23630,vpa_24055,3018.23,1767209816.0,0
vpa_25385,vpa_24311,1819.98,1767209860.0,0
vpa_22939,vpa_13644,1420.62,1767209870.0,0
vpa_13053,vpa_16036,159.28,1767209900.0,0
vpa_9614,vpa_18708,3157.09,1767209924.0,0
vpa_3277,vpa_20968,1849.87,1767209926.0,0
vpa_21851,vpa_3705,279.29,1767209971.0,0
vpa_19468,vpa_24424,1020.33,1767209993.0,0
vpa_16690,vpa_13149,9925.17,1767210084.0,0
vpa_21993,vpa_27072,509.21,1767210094.0,0
vpa_1692,vpa_15462,1731.23,1767210114.0,0
vpa_28416,vpa_29491,994.26,1767210118.0,0
vpa_10364,vpa_13644,923.12,1767210214.0,0
vpa_10405,vpa_3290,1464.32,1767210237.0,0
vpa_23048,vpa_9849,1781.92,1767210243.0,0
vpa_15632,vpa_17695,1815.49,1767210247.0,0
vpa_5429,vpa_12279,1295.68,1767210296.0,0
vpa_25345,vpa_21612,9819.51,1767210297.0,0
vpa_23285,vpa_4133,1776.03,1767210414.0,0
vpa_10745,vpa_7447,313.87,1767210460.0,0
vpa_23652,vpa_24644,1646.27,1767210461.0,0
vpa_1117,vpa_2123,290.93,1767210481.0,0
vpa_13959,vpa_23605,456.55,1767210503.0,0
vpa_18081,vpa_21926,1072.11,1767210539.0,0
vpa_22473,vpa_13374,1460.93,1767210543.0,0
vpa_20102,vpa_7251,1792.31,1767210549.0,0
vpa_16459,vpa_7945,217.53,1767210704.0,0
vpa_3743,vpa_6156,1405.86,1767210720.0,0
vpa_12621,vpa_28689,1551.4,1767210726.0,0
vpa_29391,vpa_3935,1519.98,1767210735.0,0
vpa_16481,vpa_10232,886.43,1767210832.0,0
vpa_19411,vpa_13964,642.41,1767210969.0,0
vpa_2050,vpa_18264,1324.87,1767210976.0,0
vpa_22828,vpa_27716,1581.05,1767211101.0,0
vpa_29015,vpa_6975,1512.47,1767211120.0,0
vpa_17839,vpa_17089,1034.36,1767211139.0,0
vpa_9586,vpa_19980,1826.15,1767211184.0,0
vpa_3401,vpa_26715,1637.17,1767211229.0,0
vpa_29185,vpa_344,1703.99,1767211232.0,0
vpa_17699,vpa_29880,852.74,1767211234.0,0
vpa_28984,vpa_20026,986.07,1767211275.0,0
vpa_28755,vpa_19099,1867.25,1767211275.0,0
vpa_21852,vpa_1397,1661.32,1767211279.0,0
vpa_13014,vpa_9161,8567.47,1767211305.0,0
vpa_14919,vpa_23221,6506.46,1767211344.0,0
vpa_15243,vpa_19607,268.87,1767211413.0,0
vpa_9093,vpa_10017,134.18,1767211428.0,0
vpa_10555,vpa_5505,1509.7,1767211498.0,0
vpa_23396,vpa_6838,1535.13,1767211501.0,0
vpa_13070,vpa_19111,1001.76,1767211504.0,0
vpa_7774,vpa_2026,335.33,1767211523.0,0
vpa_23006,vpa_28239,771.16,1767211524.0,0
vpa_2277,vpa_19130,493.06,1767211546.0,0
vpa_4274,vpa_11180,1266.08,1767211613.0,0
vpa_585,vpa_19483,1813.84,1767211633.0,0
vpa_1220,vpa_6330,623.0,1767211679.0,0
vpa_28854,vpa_2935,18596.62,1767211717.0,1
vpa_15371,vpa_8939,277.52,1767211726.0,0
vpa_28951,vpa_777,733.49,1767211746.0,0
vpa_3095,vpa_19871,9448.4,1767211765.0,0
vpa_24654,vpa_15368,562.02,1767211832.0,0
vpa_25348,vpa_9076,3216.66,1767211861.0,0
vpa_22512,vpa_5177,1439.63,1767211881.0,0
vpa_16827,vpa_25778,1069.23,1767211933.0,0
vpa_28679,vpa_28333,1478.69,1767211954.0,0
vpa_13947,vpa_17898,217.4,1767211963.0,0
vpa_15593,vpa_16350,1109.47,1767211969.0,0
vpa_4929,vpa_29699,2975.25,1767211984.0,0
vpa_18892,vpa_27461,36338.08,1767212022.0,1
vpa_23804,vpa_13681,183.32,1767212054.0,0
vpa_2400,vpa_22654,1238.04,1767212079.0,0
vpa_28849,vpa_12031,1059.64,1767212090.0,0
vpa_18824,vpa_27421,207.08,1767212101.0,0
vpa_16444,vpa_3994,1234.85,1767212118.0,0
vpa_11954,vpa_23078,1734.63,1767212142.0,0
vpa_24119,vpa_8915,893.69,1767212143.0,0
vpa_17429,vpa_23517,1789.62,1767212187.0,0
vpa_29894,vpa_11604,759.29,1767212221.0,0
vpa_17239,vpa_5803,2763.47,1767212244.0,0
vpa_11010,vpa_28333,578.51,1767212250.0,0
vpa_17793,vpa_11903,1602.51,1767212300.0,0
vpa_4466,vpa_1256,1127.23,1767212376.0,0
vpa_10251,vpa_7300,1252.28,1767212406.0,0
vpa_7313,vpa_344,1732.17,1767212446.0,0
vpa_22492,vpa_24882,1052.18,1767212566.0,0
vpa_27459,vpa_7615,7393.62,1767212623.0,0
vpa_12313,vpa_13788,1947.98,1767212669.0,0
vpa_16663,vpa_20009,1937.16,1767212681.0,0
vpa_660,vpa_5298,1935.25,1767212685.0,0
vpa_13805,vpa_9985,1379.45,1767212719.0,0
vpa_7492,vpa_2054,402.96,1767212726.0,0
vpa_24651,vpa_29893,1523.93,1767212846.0,0
vpa_3329,vpa_14402,2752.71,1767212848.0,0
vpa_13311,vpa_24853,439.32,1767212889.0,0
vpa_5875,vpa_25962,1346.79,1767212946.0,0
vpa_20435,vpa_29779,1174.63,1767212958.0,0
vpa_10323,vpa_15341,4405.22,1767212983.0,0
vpa_5781,vpa_28333,1943.27,1767213068.0,0
vpa_7208,vpa_25231,4270.22,1767213081.0,0
vpa_3206,vpa_13427,1287.42,1767213123.0,0
vpa_12772,vpa_85,2879.75,1767213154.0,0
vpa_17620,vpa_1441,6723.72,1767213202.0,0
vpa_27089,vpa_26692,6641.46,1767213204.0,0
vpa_27782,vpa_29214,1614.62,1767213212.0,0
vpa_10080,vpa_21599,1846.49,1767213219.0,0
vpa_26339,vpa_11321,764.26,1767213291.0,0
vpa_6047,vpa_23124,898.85,1767213296.0,0
vpa_29339,vpa_16383,160.23,1767213304.0,0
vpa_2638,vpa_1865,539.9,1767213338.0,0
vpa_14919,vpa_24882,124.45,1767213355.0,0
vpa_18299,vpa_9119,4681.53,1767213424.0,0
vpa_12015,vpa_17087,9939.36,1767213460.0,0
vpa_3753,vpa_17478,903.95,1767213500.0,0
vpa_18207,vpa_3347,1295.5,1767213502.0,0
vpa_16948,vpa_29761,449.63,1767213543.0,0
vpa_29664,vpa_14125,166.85,1767213615.0,0
vpa_6892,vpa_29375,2845.92,1767213619.0,0
vpa_10960,vpa_5177,994.14,1767213622.0,0
vpa_7400,vpa_7322,1489.37,1767213650.0,0
vpa_21479,vpa_6330,498.24,1767213658.0,0
vpa_5485,vpa_8117,1583.92,1767213727.0,0
vpa_25530,vpa_16727,23989.99,1767213730.0,1
vpa_23460,vpa_19794,5000.31,1767213767.0,0
vpa_14865,vpa_27490,1764.99,1767213788.0,0
vpa_9690,vpa_1797,1341.97,1767213868.0,0
vpa_11634,vpa_16990,1896.92,1767213952.0,0
vpa_11442,vpa_7447,545.63,1767213992.0,0
vpa_7012,vpa_25393,1191.78,1767214165.0,0
vpa_2502,vpa_16727,41055.33,1767214210.0,1
vpa_12153,vpa_17089,798.37,1767214252.0,0
vpa_3129,vpa_1797,554.48,1767214266.0,0
vpa_14762,vpa_789,1213.06,1767214266.0,0
vpa_14112,vpa_4395,1392.53,1767214273.0,0
vpa_25685,vpa_27544,1007.38,1767214358.0,0
vpa_11841,vpa_6399,5717.83,1767214408.0,0
vpa_6613,vpa_24064,644.63,1767214414.0,0
vpa_13911,vpa_27141,5325.94,1767214488.0,0
vpa_8740,vpa_17108,1028.78,1767214623.0,0
vpa_14570,vpa_23782,1136.6,1767214629.0,0
vpa_22933,vpa_634,7530.72,1767214671.0,0
vpa_22219,vpa_11427,1398.18,1767214693.0,0
vpa_27780,vpa_29468,317.94,1767214704.0,0
vpa_2826,vpa_5392,1956.8,1767214716.0,0
vpa_29196,vpa_12279,1244.09,1767214719.0,0
vpa_7260,vpa_16727,45581.35,1767214750.0,1
vpa_19733,vpa_3843,939.17,1767214850.0,0
vpa_5509,vpa_16727,20885.71,1767214870.0,1
vpa_6945,vpa_11456,5870.92,1767214886.0,0
vpa_5635,vpa_4805,2981.7,1767214890.0,0
vpa_26001,vpa_28584,21873.74,1767214936.0,1
vpa_10913,vpa_16727,33837.12,1767214990.0,1
vpa_1180,vpa_3572,1857.22,1767214994.0,0
vpa_14525,vpa_23677,2238.18,1767215010.0,0
vpa_22152,vpa_12648,7878.83,1767215067.0,0
vpa_11596,vpa_14254,6987.32,1767215067.0,0
vpa_11443,vpa_19662,5618.02,1767215111.0,0
vpa_16921,vpa_25418,4312.44,1767215165.0,0
vpa_18198,vpa_10337,760.38,1767215179.0,0
vpa_9656,vpa_13644,1522.87,1767215205.0,0
vpa_3618,vpa_4876,1346.06,1767215236.0,0
vpa_21029,vpa_26675,1027.09,1767215311.0,0
vpa_18405,vpa_24398,779.8,1767215430.0,0
vpa_14262,vpa_6565,9945.43,1767215627.0,0
vpa_9950,vpa_15937,19316.8,1767215678.0,1
vpa_3688,vpa_27839,1492.87,1767215709.0,0
vpa_26416,vpa_6838,1948.53,1767215795.0,0
vpa_23046,vpa_4166,716.39,1767215845.0,0
vpa_6204,vpa_27851,6133.66,1767215850.0,0
vpa_24148,vpa_5933,630.29,1767215906.0,0
vpa_28423,vpa_6932,1370.22,1767215916.0,0
vpa_22651,vpa_15184,729.35,1767215986.0,0
vpa_766,vpa_13591,1001.43,1767215999.0,0
vpa_26772,vpa_11292,780.64,1767216104.0,0
vpa_14473,vpa_19573,1953.4,1767216113.0,0
vpa_17696,vpa_21773,522.47,1767216180.0,0
vpa_22469,vpa_10547,3933.78,1767216198.0,0
vpa_14223,vpa_10749,1366.61,1767216265.0,0
vpa_29657,vpa_16639,1540.92,1767216299.0,0
vpa_14067,vpa_26278,7397.57,1767216317.0,0
vpa_27187,vpa_5414,261.07,1767216323.0,0
vpa_255,vpa_7637,1899.63,1767216355.0,0
vpa_23503,vpa_16639,661.47,1767216365.0,0
vpa_15313,vpa_2228,1554.17,1767216400.0,0
vpa_17395,vpa_13469,5344.54,1767216429.0,0
vpa_15509,vpa_25145,831.04,1767216500.0,0
vpa_11542,vpa_13919,979.83,1767216541.0,0
vpa_13274,vpa_27540,1385.4,1767216574.0,0
vpa_9229,vpa_17737,113.96,1767216575.0,0
vpa_21476,vpa_25337,1659.75,1767216583.0,0
vpa_19158,vpa_20381,668.99,1767216717.0,0
vpa_10529,vpa_5990,597.35,1767216717.0,0
vpa_20394,vpa_22654,238.77,1767216730.0,0
vpa_20073,vpa_25508,9282.87,1767216816.0,0
vpa_29656,vpa_13747,335.49,1767216831.0,0
vpa_5753,vpa_15244,1796.56,1767216908.0,0
vpa_29658,vpa_19483,1178.51,1767216959.0,0
vpa_29708,vpa_523,607.33,1767216980.0,0
vpa_4844,vpa_133,5160.56,1767216987.0,0
vpa_3466,vpa_27490,1416.23,1767217160.0,0
vpa_13462,vpa_6695,1151.6,1767217217.0,0
vpa_22313,vpa_27911,9064.42,1767217225.0,0
vpa_17514,vpa_14724,4334.35,1767217262.0,0
vpa_22790,vpa_27072,1089.03,1767217270.0,0
vpa_5969,vpa_3617,1861.31,1767217358.0,0
vpa_8083,vpa_17924,1821.81,1767217364.0,0
vpa_5116,vpa_18162,1680.8,1767217374.0,0
vpa_9594,vpa_10390,714.67,1767217406.0,0
vpa_16712,vpa_15324,1764.6,1767217415.0,0
vpa_27014,vpa_11325,1060.42,1767217473.0,0
vpa_5936,vpa_4588,562.58,1767217491.0,0
vpa_25139,vpa_15432,5396.4,1767217530.0,0
vpa_21060,vpa_7945,1323.36,1767217548.0,0
vpa_29357,vpa_18668,1181.11,1767217581.0,0
vpa_24837,vpa_7379,4314.46,1767217603.0,0
vpa_14666,vpa_6917,1382.63,1767217630.0,0
vpa_23594,vpa_29214,1266.37,1767217662.0,0
vpa_28386,vpa_8939,1946.44,1767217668.0,0
vpa_2073,vpa_21100,107.5,1767217707.0,0
vpa_8702,vpa_19573,309.09,1767217766.0,0
vpa_14268,vpa_21731,211.0,1767217799.0,0
vpa_18656,vpa_12206,708.01,1767217820.0,0
vpa_11159,vpa_12148,7684.2,1767217834.0,0
vpa_3536,vpa_11180,1953.96,1767217857.0,0
vpa_26268,vpa_8638,824.58,1767217948.0,0
vpa_6303,vpa_21773,1549.87,1767218006.0,0
vpa_26022,vpa_7711,8722.48,1767218083.0,0
vpa_14874,vpa_5852,1633.27,1767218099.0,0
vpa_22848,vpa_13015,169.41,1767218180.0,0
vpa_28303,vpa_11325,974.01,1767218285.0,0
vpa_9932,vpa_7782,1376.69,1767218399.0,0
vpa_17063,vpa_2565,1210.22,1767218547.0,0
vpa_26932,vpa_12279,1499.73,1767218616.0,0
vpa_4073,vpa_16419,9105.69,1767218627.0,0
vpa_26779,vpa_28941,4485.01,1767218655.0,0
vpa_12862,vpa_7791,1427.36,1767218733.0,0
vpa_2715,vpa_18495,2960.16,1767218826.0,0
vpa_11054,vpa_21792,1014.26,1767218827.0,0
vpa_3756,vpa_1164,1819.45,1767218838.0,0
vpa_25566,vpa_13681,1693.66,1767218867.0,0
vpa_11940,vpa_18052,3216.16,1767218896.0,0
vpa_15968,vpa_27295,963.67,1767218995.0,0
vpa_12125,vpa_426,1584.47,1767219007.0,0
vpa_23368,vpa_20282,1336.02,1767219155.0,0
vpa_588,vpa_15106,1300.67,1767219327.0,0
vpa_20132,vpa_25987,206.21,1767219348.0,0
vpa_24398,vpa_18405,700.9,1767219364.0,0
vpa_7622,vpa_1414,698.0,1767219396.0,0
vpa_18132,vpa_2123,1562.18,1767219515.0,0
vpa_18562,vpa_27133,288.0,1767219538.0,0
vpa_12665,vpa_10948,955.22,1767219595.0,0
vpa_9713,vpa_13188,1501.86,1767219671.0,0
vpa_12560,vpa_13261,1351.62,1767219783.0,0
vpa_26344,vpa_27421,1739.75,1767219787.0,0
vpa_9783,vpa_21005,1585.19,1767219798.0,0
vpa_25849,vpa_12390,782.94,1767219800.0,0
vpa_16462,vpa_10232,1511.54,1767219852.0,0
vpa_24953,vpa_8873,2359.92,1767219873.0,0
vpa_17252,vpa_28075,1454.07,1767219911.0,0
vpa_7292,vpa_20333,1790.01,1767219934.0,0
vpa_17047,vpa_11483,217.61,1767220012.0,0
vpa_4918,vpa_13374,867.47,1767220030.0,0
vpa_14269,vpa_7353,9829.82,1767220097.0,0
vpa_8549,vpa_7818,4905.62,1767220131.0,0
vpa_2186,vpa_18850,36662.34,1767220315.0,1
vpa_23816,vpa_5181,1775.57,1767220344.0,0
vpa_7411,vpa_1338,1604.44,1767220369.0,0
vpa_27680,vpa_25469,1007.14,1767220379.0,0
vpa_4482,vpa_25500,1810.94,1767220398.0,0
vpa_22340,vpa_5392,380.48,1767220448.0,0
vpa_26318,vpa_5957,1519.3,1767220464.0,0
vpa_17538,vpa_27918,480.18,1767220570.0,0
vpa_15996,vpa_19029,2560.61,1767220601.0,0
vpa_13787,vpa_25962,187.12,1767220644.0,0
vpa_5215,vpa_8516,226.95,1767220664.0,0
vpa_10146,vpa_3,45697.36,1767220698.0,1
vpa_485,vpa_25625,8436.47,1767220724.0,0
vpa_17717,vpa_1338,922.28,1767220825.0,0
vpa_9082,vpa_8472,2306.88,1767220867.0,0
vpa_19971,vpa_29103,1604.25,1767220882.0,0
vpa_15606,vpa_777,1544.72,1767220942.0,0
vpa_1278,vpa_25540,1771.21,1767220969.0,0
vpa_22082,vpa_22791,338.25,1767221016.0,0
vpa_25656,vpa_19206,239.25,1767221020.0,0
vpa_19967,vpa_14806,528.15,1767221043.0,0
vpa_22284,vpa_28771,1839.21,1767221044.0,0
vpa_3638,vpa_9384,3095.34,1767221115.0,0
vpa_19932,vpa_16065,516.32,1767221153.0,0
vpa_29523,vpa_29769,8480.0,1767221197.0,0
vpa_11634,vpa_15462,1860.56,1767221306.0,0
vpa_10697,vpa_16604,699.71,1767221351.0,0
vpa_21239,vpa_13207,652.81,1767221404.0,0
vpa_3739,vpa_4620,484.43,1767221417.0,0
vpa_3397,vpa_8939,1743.84,1767221521.0,0
vpa_14863,vpa_7782,1962.69,1767221604.0,0
vpa_14177,vpa_16383,1227.79,1767221645.0,0
vpa_23437,vpa_19921,1067.26,1767221766.0,0
vpa_11695,vpa_26328,1207.44,1767221771.0,0
vpa_10362,vpa_25809,2109.81,1767221842.0,0
vpa_27873,vpa_20294,1417.62,1767221889.0,0
vpa_9869,vpa_23600,480.54,1767221954.0,0
vpa_29874,vpa_16711,660.2,1767221967.0,0
vpa_16300,vpa_777,552.83,1767222055.0,0
vpa_2430,vpa_25962,1401.12,1767222062.0,0
vpa_26637,vpa_19305,3814.05,1767222071.0,0
vpa_19397,vpa_14047,1689.5,1767222074.0,0
vpa_19419,vpa_13374,1525.23,1767222107.0,0
vpa_20008,vpa_13188,1299.68,1767222115.0,0
vpa_12435,vpa_10232,524.97,1767222118.0,0
vpa_23138,vpa_1032,3225.52,1767222128.0,0
vpa_8332,vpa_29890,857.87,1767222253.0,0
vpa_9761,vpa_13816,603.24,1767222319.0,0
vpa_2053,vpa_1350,4183.61,1767222334.0,0
vpa_13674,vpa_24824,245.68,1767222339.0,0
vpa_9717,vpa_3460,1927.93,1767222342.0,0
vpa_26488,vpa_426,600.89,1767222358.0,0
vpa_4644,vpa_13681,1516.55,1767222380.0,0
vpa_18767,vpa_25393,1604.61,1767222380.0,0
vpa_24638,vpa_27421,430.36,1767222383.0,0
vpa_3551,vpa_27716,1767.1,1767222441.0,0
vpa_23326,vpa_18019,532.03,1767222479.0,0
vpa_4151,vpa_16350,853.5,1767222489.0,0
vpa_8663,vpa_4619,804.97,1767222491.0,0
vpa_9246,vpa_1515,257.3,1767222495.0,0
vpa_25489,vpa_2046,236.22,1767222522.0,0
vpa_5614,vpa_21792,1018.73,1767222542.0,0
vpa_590,vpa_24258,2903.77,1767222545.0,0
vpa_15759,vpa_1648,937.79,1767222558.0,0
vpa_29527,vpa_1397,263.19,1767222573.0,0
vpa_10596,vpa_13038,589.74,1767222615.0,0
vpa_29347,vpa_26044,4520.4,1767222623.0,0
vpa_27291,vpa_29350,640.57,1767222709.0,0
vpa_27786,vpa_22127,371.29,1767222719.0,0
vpa_29244,vpa_11393,429.97,1767222734.0,0
vpa_17962,vpa_28911,742.6,1767222749.0,0
vpa_10357,vpa_28082,1675.22,1767222827.0,0
vpa_2273,vpa_2639,5597.9,1767222901.0,0
vpa_4998,vpa_27877,4866.47,1767222924.0,0
vpa_1750,vpa_5218,1135.19,1767222937.0,0
vpa_17257,vpa_9842,2829.61,1767222954.0,0
vpa_9451,vpa_29880,1142.39,1767222983.0,0
vpa_23435,vpa_21146,4887.56,1767222993.0,0
vpa_28896,vpa_29335,2384.52,1767222995.0,0
vpa_29567,vpa_25778,995.12,1767223178.0,0
vpa_11464,vpa_8593,8618.77,1767223229.0,0
vpa_22778,vpa_26962,4074.79,1767223343.0,0
vpa_25408,vpa_7101,9038.95,1767223379.0,0
vpa_10736,vpa_5852,1703.43,1767223400.0,0
vpa_1071,vpa_1466,576.99,1767223473.0,0
vpa_19853,vpa_10131,1790.12,1767223576.0,0
vpa_26306,vpa_13919,1219.65,1767223610.0,0
vpa_9250,vpa_17121,498.45,1767223630.0,0
vpa_13499,vpa_14500,1417.46,1767223674.0,0
vpa_17879,vpa_24867,368.38,1767223762.0,0
vpa_29316,vpa_6330,1167.88,1767223770.0,0
vpa_15248,vpa_20587,1868.73,1767223802.0,0
vpa_21108,vpa_21981,1018.07,1767223986.0,0
vpa_26714,vpa_26839,8667.44,1767224006.0,0
vpa_5024,vpa_6156,108.79,1767224027.0,0
vpa_15844,vpa_5990,273.22,1767224128.0,0
vpa_1921,vpa_9439,1067.34,1767224133.0,0
vpa_21615,vpa_27807,1277.09,1767224197.0,0
vpa_13270,vpa_15562,1784.69,1767224271.0,0
vpa_22261,vpa_3843,1125.27,1767224369.0,0
vpa_28332,vpa_24039,135.84,1767224397.0,0
vpa_23687,vpa_20381,280.04,1767224401.0,0
vpa_24197,vpa_13427,1924.03,1767224466.0,0
vpa_26315,vpa_7373,1387.19,1767224619.0,0
vpa_5723,vpa_10390,1869.35,1767224664.0,0
vpa_27215,vpa_13644,584.31,1767224675.0,0
vpa_2087,vpa_19980,835.71,1767224730.0,0
vpa_22216,vpa_13448,444.74,1767224745.0,0
vpa_15811,vpa_23488,840.41,1767224775.0,0
vpa_17630,vpa_11356,391.2,1767224812.0,0
vpa_26971,vpa_19607,1030.82,1767224847.0,0
vpa_5706,vpa_3843,1089.79,1767224913.0,0
vpa_20513,vpa_2046,758.89,1767224930.0,0
vpa_20945,vpa_22714,1741.8,1767224938.0,0
vpa_1838,vpa_29779,574.19,1767224988.0,0
vpa_15720,vpa_7389,2664.51,1767225045.0,0
vpa_3226,vpa_11446,1099.51,1767225068.0,0
vpa_3742,vpa_1363,6204.74,1767225114.0,1
vpa_20932,vpa_7191,3620.89,1767225261.0,0
vpa_7095,vpa_25245,3959.15,1767225341.0,0
vpa_24253,vpa_25962,571.59,1767225400.0,0
vpa_3102,vpa_8399,2826.97,1767225469.0,0
vpa_9827,vpa_25057,41992.63,1767225477.0,1
vpa_24615,vpa_10510,4029.69,1767225533.0,0
vpa_24330,vpa_1363,7342.24,1767225594.0,1
vpa_24271,vpa_18842,9518.73,1767225666.0,0
vpa_1301,vpa_21442,485.3,1767225711.0,0
vpa_12021,vpa_1363,9757.23,1767225774.0,1
vpa_22618,vpa_10131,435.02,1767225897.0,0
vpa_1541,vpa_18464,839.83,1767225905.0,0
vpa_5571,vpa_14052,737.52,1767225943.0,0
vpa_8901,vpa_3815,1278.22,1767226045.0,0
vpa_27154,vpa_23448,188.1,1767226055.0,0
vpa_20318,vpa_4236,3281.83,1767226064.0,0
vpa_25398,vpa_1363,13802.73,1767226074.0,1
vpa_10767,vpa_17924,1745.87,1767226114.0,0
vpa_2809,vpa_17594,1069.84,1767226131.0,0
vpa_24361,vpa_27421,1513.49,1767226135.0,0
vpa_14940,vpa_24733,9679.9,1767226188.0,0
vpa_893,vpa_19708,814.05,1767226248.0,0
vpa_23447,vpa_16712,184.25,1767226291.0,0
vpa_19856,vpa_6330,570.28,1767226368.0,0
vpa_20610,vpa_8378,559.97,1767226454.0,0
vpa_9897,vpa_13747,432.18,1767226463.0,0
vpa_11974,vpa_6502,4590.5,1767226469.0,0
vpa_17919,vpa_13231,3971.72,1767226499.0,0
vpa_22632,vpa_29761,405.8,1767226506.0,0
vpa_11211,vpa_18005,4646.4,1767226548.0,0
vpa_24373,vpa_2214,1826.73,1767226597.0,0
vpa_20531,vpa_8200,1484.53,1767226601.0,0
vpa_2048,vpa_3935,887.29,1767226652.0,0
vpa_20241,vpa_23498,249.05,1767226658.0,0
vpa_10198,vpa_11292,346.59,1767226709.0,0
vpa_26677,vpa_1363,12293.95,1767226794.0,1
